Field,ID,RA_1,DEC_1,Z,PLATE,MJD,FIBERID,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal
STRIPE82-0001,iDR3.STRIPE82-0001.000608,0.5131581165114565,-1.3948708383224786,1.98,4354,55810,770,22.467402,22.000237,23.483643,21.695229,22.739803,21.607084,20.777372,21.81668,22.235706,21.330376,20.990774,23.674355
STRIPE82-0001,iDR3.STRIPE82-0001.001004,359.45569353338027,-1.3875285064395246,1.2908222675323486,7850,56956,574,20.691502,20.479986,20.892399,20.859768,20.416874,20.426855,20.191647,19.87281,19.935081,19.775133,19.811392,19.89357
STRIPE82-0001,iDR3.STRIPE82-0001.001108,0.4935350953530514,-1.3824215842009209,2.33057188987732,7850,56956,816,21.528408,21.270391,21.097178,20.532623,21.056498,20.518454,20.22963,20.023342,19.954792,19.895966,19.928186,19.45803
STRIPE82-0001,iDR3.STRIPE82-0001.001170,0.0519756874294783,-1.3810630519900795,1.0895875692367554,7850,56956,695,21.087904,21.021893,21.032263,20.829704,20.994356,21.033596,20.719524,20.628963,20.640038,20.44329,20.479952,20.422909
STRIPE82-0001,iDR3.STRIPE82-0001.001226,0.7074381066623153,-1.379591968749648,2.602806329727173,7850,56956,856,21.789492,21.74906,22.060387,23.396503,20.84244,21.194063,21.12853,20.836761,21.057049,20.660685,20.954409,20.386383
STRIPE82-0001,iDR3.STRIPE82-0001.001798,359.4424903629522,-1.366851732361249,0.971,7850,56956,571,22.012281,22.23905,23.333029,22.058918,21.708632,22.233412,21.941898,20.998936,21.38052,20.605677,20.48781,20.102211
STRIPE82-0001,iDR3.STRIPE82-0001.001877,359.5218549462989,-1.3649719892078715,1.3673704862594604,7850,56956,614,21.351126,20.866419,20.921608,20.829044,21.818121,20.397083,20.18759,19.785065,19.377491,19.674194,19.735567,19.550655
STRIPE82-0001,iDR3.STRIPE82-0001.002114,359.710651537829,-1.359423485031371,0.7490496635437012,7850,56956,654,22.41162,24.577862,22.187254,21.8933,21.510466,21.640594,22.710024,21.623066,21.478245,20.792059,20.39369,20.746983
STRIPE82-0001,iDR3.STRIPE82-0001.002366,359.5806445486676,-1.35358543891447,0.9759920835494996,7850,56956,616,20.95734,20.7235,20.78122,20.87622,21.15115,20.537699,20.54634,20.351398,20.487312,20.276228,20.373224,20.062187
STRIPE82-0001,iDR3.STRIPE82-0001.002372,359.9610397547899,-1.3531813917435096,1.5014781951904297,7850,56956,694,20.562416,20.280136,20.536255,20.282146,20.177586,20.147877,20.061207,19.809643,19.894512,19.507303,19.784914,19.483238
STRIPE82-0001,iDR3.STRIPE82-0001.002920,359.51867232855284,-1.3394923011284878,1.2410567998886108,7851,56932,998,21.265818,21.549717,22.080233,21.51281,21.678802,21.493944,21.657465,21.072502,21.319103,21.36237,20.56212,21.020607
STRIPE82-0001,iDR3.STRIPE82-0001.003127,0.2308703096376541,-1.334978095918305,1.7480980157852173,7850,56956,734,21.41138,21.293665,21.395239,21.755592,21.150835,20.886555,20.95324,21.198967,21.19286,20.700752,21.846754,20.857712
STRIPE82-0001,iDR3.STRIPE82-0001.003509,0.005721690932006,-1.3249415598898069,2.328,4354,55810,646,20.667824,20.514797,19.852383,19.406704,20.197989,19.862371,19.474314,19.794792,19.892803,19.828129,19.895063,19.502224
STRIPE82-0001,iDR3.STRIPE82-0001.003853,359.5185860573493,-1.315254118482484,1.3576383590698242,7850,56956,573,21.025991,21.095045,21.309397,21.290314,21.6729,21.237762,21.064346,20.965412,20.451332,20.922262,20.970808,20.584694
STRIPE82-0001,iDR3.STRIPE82-0001.004210,0.5438185252163165,-1.3051748106176695,2.1485280990600586,7850,56956,811,21.804287,20.864323,22.507812,21.13155,21.10992,21.188114,20.899082,20.931396,20.786983,20.814402,20.352068,20.508602
STRIPE82-0001,iDR3.STRIPE82-0001.004948,359.67145123232456,-1.2827845021911335,3.154,4354,55810,606,22.382212,21.196655,21.157848,20.575806,20.615377,19.890556,19.073616,19.607548,19.654842,19.473421,19.410074,19.420094
STRIPE82-0001,iDR3.STRIPE82-0001.004954,0.4941927294062409,-1.282408311310322,1.2935775518417358,7850,56956,772,22.22186,22.26082,99.0,99.0,22.17773,22.514572,23.300354,22.165535,22.258709,21.776823,99.0,23.024529
STRIPE82-0001,iDR3.STRIPE82-0001.005042,359.91986710094045,-1.280259831759843,3.113,4354,55810,648,22.965887,21.609144,22.25059,21.177837,20.537962,20.328066,19.6386,20.068184,20.046284,20.014935,20.040342,19.938473
STRIPE82-0001,iDR3.STRIPE82-0001.005043,0.3852832657652593,-1.2800581237545356,0.9490457773208618,7850,56956,771,21.4822,21.1728,21.1039,21.967579,21.279566,21.048065,21.57829,20.703018,20.751747,20.70742,20.114351,20.628254
STRIPE82-0001,iDR3.STRIPE82-0001.005299,0.6019893951888761,-1.2726046245636828,1.9678796529769893,7850,56956,814,22.523191,21.535797,22.305363,21.857159,23.240452,22.238125,24.22581,22.210361,21.791893,21.225607,21.771505,22.35624
STRIPE82-0001,iDR3.STRIPE82-0001.005525,0.4826376642822573,-1.2660895954759457,1.1371355056762695,7850,56956,770,22.386906,21.992609,25.059256,22.209255,21.93451,21.976398,21.815834,21.18927,21.124908,20.908464,20.410364,20.90586
STRIPE82-0001,iDR3.STRIPE82-0001.005772,359.32554832050886,-1.258039122116249,2.204,7851,56932,994,20.754545,20.081026,18.973295,19.95937,20.001928,19.886158,19.932026,19.91243,20.015324,19.79716,19.78531,19.59982
STRIPE82-0001,iDR3.STRIPE82-0001.005833,0.2651673039197412,-1.256181076970693,0.9993188381195068,7850,56956,732,20.763659,20.342337,20.862448,20.548195,20.418793,20.365925,20.496216,20.161407,20.136974,20.22949,20.02817,19.839115
STRIPE82-0001,iDR3.STRIPE82-0001.005959,0.6576155326117124,-1.252200137468387,1.941791296005249,7850,56956,810,20.097166,20.375107,20.864992,20.20459,20.24989,20.155617,19.983227,20.0822,20.19519,19.924974,19.926252,20.10561
STRIPE82-0001,iDR3.STRIPE82-0001.006088,359.5866503146854,-1.2481495111463363,1.783,9159,57666,64,22.117945,23.444942,99.0,22.636093,21.310688,22.638113,21.845259,22.429348,21.890804,21.111952,21.783857,21.208061
